date,equity
2021-03-17,467343.68
2021-03-18,432756.63
2021-03-19,419535.86
2021-03-22,419529.04
2021-03-23,356739.19
2021-03-24,352000.66
2021-03-25,361480.33
2021-03-26,385019.73
2021-03-29,384547.53
2021-03-30,382060.51
2021-03-31,397071.19
2021-04-01,409130.59
2021-04-02,407358.16
2021-04-05,424377.28
2021-04-06,406004.32
2021-04-07,384821.45
2021-04-08,385618.72
2021-04-09,385450.13
2021-04-12,386317.65
2021-04-13,385091.88
2021-04-14,399695.29
2021-04-15,398784.21
2021-04-16,409819.8
2021-04-19,426461.13
2021-04-20,407128.39
2021-04-21,415717.49
2021-04-22,392639.18
2021-04-23,411460.0
2021-04-26,426148.27
2021-04-27,428705.9
2021-04-28,452785.4
2021-04-29,453078.56
2021-04-30,413362.12
2021-05-03,434158.5
2021-05-04,422062.25
2021-05-05,432740.48
2021-05-06,447071.71
2021-05-07,478309.02
2021-05-10,502918.21
2021-05-11,498828.16
2021-05-12,468451.36
2021-05-13,463826.22
2021-05-14,492157.51
2021-05-17,497427.89
2021-05-18,504593.99
2021-05-19,477710.93
2021-05-20,498865.25
2021-05-21,485772.48
2021-05-24,492956.18
2021-05-25,492165.79
2021-05-26,491019.76
2021-05-27,529868.49
2021-05-28,519406.21
2021-05-31,526207.17
2021-06-01,513644.26
2021-06-02,514759.72
2021-06-03,478308.53
2021-06-04,502136.09
2021-06-07,506693.32
2021-06-08,497040.03
2021-06-09,491776.23
2021-06-10,504070.92
2021-06-11,475068.06
2021-06-14,482187.28
2021-06-15,471593.25
2021-06-16,438366.63
2021-06-17,390402.1
2021-06-18,342994.91
2021-06-21,378841.73
2021-06-22,396572.68
2021-06-23,411594.31
2021-06-24,403894.98
2021-06-25,401025.25
2021-06-28,387316.38
2021-06-29,365086.26
2021-06-30,370134.49
2021-07-01,362790.93
2021-07-02,379903.48
2021-07-05,380805.08
2021-07-06,350640.3
2021-07-07,346256.79
2021-07-08,325926.63
2021-07-09,358411.78
2021-07-12,357029.22
2021-07-13,334030.53
2021-07-14,349009.57
2021-07-15,330674.62
2021-07-16,320667.26
2021-07-19,292083.42
2021-07-20,298018.51
2021-07-21,316014.57
2021-07-22,324445.32
2021-07-23,327582.52
2021-07-26,334826.24
2021-07-27,326319.62
2021-07-28,332690.37
2021-07-29,336999.04
2021-07-30,326203.72
2021-08-02,318717.4
2021-08-03,322489.02
2021-08-04,324423.26
2021-08-05,336470.18
2021-08-06,322414.91
2021-08-09,312319.85
2021-08-10,318989.9
2021-08-11,323840.25
2021-08-12,313319.97
2021-08-13,311777.76
2021-08-16,299971.86
2021-08-17,291868.67
2021-08-18,295243.98
2021-08-19,276444.52
2021-08-20,274683.6
2021-08-23,286147.47
2021-08-24,289644.08
2021-08-25,298178.79
2021-08-26,287529.45
2021-08-27,296042.85
2021-08-30,294127.15
2021-08-31,298179.03
2021-09-01,304075.82
2021-09-02,312936.31
2021-09-03,318833.71
2021-09-06,316639.96
2021-09-07,309564.84
2021-09-08,303346.54
2021-09-09,302789.07
2021-09-10,303319.58
2021-09-13,309357.76
2021-09-14,294153.08
2021-09-15,299887.07
2021-09-16,283244.63
2021-09-17,269868.39
2021-09-20,253317.34
2021-09-21,242965.15
2021-09-22,249321.46
2021-09-23,280030.61
2021-09-24,275808.08
2021-09-27,283761.07
2021-09-28,271208.72
2021-09-29,261718.78
2021-09-30,266542.43
2021-10-01,271975.21
2021-10-04,277597.72
2021-10-05,290663.44
2021-10-06,285377.18
2021-10-07,297740.14
2021-10-08,307335.79
2021-10-11,330794.18
2021-10-12,332750.96
2021-10-13,340386.91
2021-10-14,360102.81
2021-10-15,380465.5
2021-10-18,379466.21
2021-10-19,402646.8
2021-10-20,407755.7
2021-10-21,381727.84
2021-10-22,366986.66
2021-10-25,381524.29
2021-10-26,393465.79
2021-10-27,377628.23
2021-10-28,378456.55
2021-10-29,379883.62
2021-11-01,370285.56
2021-11-02,346953.38
2021-11-03,365476.62
2021-11-04,326440.9
2021-11-05,316956.1
2021-11-08,323828.8
2021-11-09,310664.0
2021-11-10,313582.25
2021-11-11,305485.71
2021-11-12,314730.28
2021-11-15,327440.28
2021-11-16,343421.67
2021-11-17,336403.37
2021-11-18,336707.72
2021-11-19,329937.23
2021-11-22,336893.41
2021-11-23,342858.32
2021-11-24,353457.4
2021-11-25,349390.93
