date,open,high,low,close
2026-03-30,212.559,212.582,210.208,210.634
2026-03-31,210.631,211.218,209.651,209.91
2026-04-01,209.926,211.513,209.906,211.223
2026-04-02,211.184,211.313,210.386,211.06
2026-04-03,211.054,211.337,210.555,210.62
2026-04-06,210.585,211.544,210.463,211.402
2026-04-07,211.381,212.326,211.238,212.192
2026-04-08,212.258,213.152,212.152,212.491
2026-04-09,212.472,213.852,212.395,213.591
2026-04-10,213.598,214.583,213.553,214.559
2026-04-13,213.984,215.379,213.772,215.222
2026-04-14,215.216,215.783,214.915,215.461
2026-04-15,215.45,215.909,215.2,215.574
2026-04-16,215.552,215.726,215.135,215.298
2026-04-17,215.301,215.685,214.019,214.368
2026-04-20,214.292,215.101,214.225,214.838
2026-04-21,214.851,215.421,214.618,215.189
2026-04-22,215.225,215.665,214.928,215.32
2026-04-23,215.313,215.736,214.952,215.069
2026-04-24,215.018,215.749,214.95,215.747
2026-04-27,215.587,216.057,215.528,215.81
2026-04-28,215.777,215.85,214.958,215.701
2026-04-29,215.703,216.284,215.493,216.125
2026-04-30,216.098,216.599,210.486,213.048
2026-05-01,213.065,214.045,211.821,213.191
2026-05-04,213.206,213.623,211.83,212.686
2026-05-05,212.684,214.079,212.56,213.83
2026-05-06,213.831,214.23,210.785,212.38
2026-05-07,212.38,213.123,212.301,212.588
2026-05-08,212.551,213.607,212.524,213.597
2026-05-11,212.728,214.425,212.728,213.823
2026-05-12,213.841,214.203,212.753,213.346
2026-05-13,213.35,213.703,212.886,213.403
2026-05-14,213.439,213.71,211.886,212.267
2026-05-15,212.257,212.27,211.298,211.465
2026-05-18,211.44,213.552,211.385,213.261
2026-05-19,213.26,213.51,212.681,213.196
2026-05-20,213.186,213.619,212.648,213.493
2026-05-21,213.49,213.827,213.291,213.556
2026-05-22,213.555,214.05,213.472,213.925
2026-05-25,213.794,214.681,213.794,214.547
2026-05-26,214.547,214.681,214.084,214.184
2026-05-27,214.201,214.481,214.013,214.117
2026-05-28,214.133,214.22,213.333,214.114
2026-05-29,214.108,214.628,213.588,214.493
2026-06-01,214.442,215.005,214.181,214.819
2026-06-02,214.843,215.53,214.797,215.367
2026-06-03,215.338,215.382,214.512,214.695
2026-06-04,214.705,215.162,214.455,214.751
2026-06-05,214.738,215.605,213.53,213.677
2026-06-08,213.93,213.987,212.941,213.64
2026-06-09,213.665,214.795,213.499,214.394
2026-06-10,214.395,215.236,214.382,214.616
2026-06-11,214.597,214.946,213.883,214.634
2026-06-12,214.644,215.02,214.571,214.852
2026-06-15,214.653,215.374,214.625,215.004
2026-06-16,215.073,215.563,214.529,215.46
2026-06-17,215.449,215.449,213.222,213.449
2026-06-18,213.451,214.061,212.475,213.121
2026-06-19,213.121,213.554,212.469,213.443
2026-06-22,212.878,214.674,212.878,214.046
2026-06-23,214.074,214.208,212.984,213.251
2026-06-24,213.264,213.505,212.55,212.991
2026-06-25,213.019,213.729,212.814,213.454
2026-06-26,213.479,213.814,213.219,213.508
2026-06-29,213.699,214.774,213.406,214.668
2026-06-30,214.7,215.774,214.189,215.559
2026-07-01,215.559,215.944,215.117,215.751
2026-07-02,215.847,216.074,214.653,215.07
2026-07-03,215.049,215.528,214.796,215.47
2026-07-06,215.39,217.16,215.376,217.06
2026-07-07,217.058,217.216,216.385,216.573
2026-07-08,216.573,217.835,216.458,217.709
2026-07-09,217.708,218.01,217.374,217.68
2026-07-10,217.691,217.806,216.471,216.691
2026-07-13,216.57,217.314,216.548,216.843
2026-07-14,216.844,217.338,216.684,217.202
2026-07-15,217.207,219.648,217.116,219.483
2026-07-16,219.485,219.559,218.678,218.818
2026-07-17,218.817,218.949,218.004,218.55
2026-07-20,218.392,218.836,218.05,218.166
2026-07-21,218.159,218.73,217.527,218.29
2026-07-22,218.29,218.418,217.84,218.152
